angle,position,intercept factor
135,0.030,0.02666666666666667
136,0.030,0.04065040650406504
137,0.030,0.03125
138,0.030,0.0743801652892562
139,0.030,0.06716417910447761
140,0.030,0.0847457627118644
141,0.030,0.09230769230769231
142,0.030,0.1297709923664122
143,0.030,0.10476190476190476
144,0.030,0.14960629921259844
145,0.030,0.11304347826086956
146,0.030,0.168141592920354
147,0.030,0.15254237288135594
148,0.030,0.17557251908396945
149,0.030,0.1926605504587156
150,0.030,0.08148148148148149
151,0.030,0.1076923076923077
152,0.030,0.19008264462809918
153,0.030,0.1864406779661017
154,0.030,0.12396694214876033
155,0.030,0.1588785046728972
156,0.030,0.22123893805309736
157,0.030,0.16129032258064516
158,0.030,0.15328467153284672
159,0.030,0.17073170731707318
160,0.030,0.14049586776859505
161,0.030,0.1694915254237288
162,0.030,0.0847457627118644
163,0.030,0.17037037037037037
164,0.030,0.15384615384615385
165,0.030,0.13333333333333333
166,0.030,0.16923076923076924
167,0.030,0.20689655172413793
168,0.030,0.17543859649122806
169,0.030,0.2421875
170,0.030,0.25925925925925924
171,0.030,0.13385826771653545
172,0.030,0.20689655172413793
173,0.030,0.16535433070866143
174,0.030,0.2421875
175,0.030,0.24193548387096775
176,0.030,0.22123893805309736
177,0.030,0.22935779816513763
178,0.030,0.2
179,0.030,0.2125984251968504
180,0.030,0.2222222222222222
181,0.030,0.13333333333333333
182,0.030,0.20930232558139536
183,0.030,0.28695652173913044
184,0.030,0.18032786885245902
185,0.030,0.21739130434782608
186,0.030,0.28695652173913044
187,0.030,0.15384615384615385
188,0.030,0.15702479338842976
189,0.030,0.14960629921259844
190,0.030,0.2396694214876033
191,0.030,0.2
192,0.030,0.15254237288135594
193,0.030,0.1282051282051282
194,0.030,0.11267605633802817
195,0.030,0.1926605504587156
196,0.030,0.11940298507462686
197,0.030,0.12878787878787878
198,0.030,0.0948905109489051
199,0.030,0.20754716981132076
200,0.030,0.14285714285714285
201,0.030,0.10077519379844961
202,0.030,0.1896551724137931
203,0.030,0.1623931623931624
204,0.030,0.16
205,0.030,0.14705882352941177
206,0.030,0.21367521367521367
207,0.030,0.16666666666666666
208,0.030,0.15702479338842976
209,0.030,0.125
210,0.030,0.2
211,0.030,0.12195121951219512
212,0.030,0.16030534351145037
213,0.030,0.104
214,0.030,0.09523809523809523
215,0.030,0.15
216,0.030,0.13385826771653545
217,0.030,0.09090909090909091
218,0.030,0.0896551724137931
219,0.030,0.06896551724137931
220,0.030,0.1111111111111111
221,0.030,0.058823529411764705
222,0.030,0.0916030534351145
223,0.030,0.03731343283582089
224,0.030,0.03937007874015748
225,0.030,0.06611570247933884
135,0.031,0.031746031746031744
136,0.031,0.056
137,0.031,0.08396946564885496
138,0.031,0.05970149253731343
139,0.031,0.056338028169014086
140,0.031,0.11864406779661017
141,0.031,0.1111111111111111
142,0.031,0.13793103448275862
143,0.031,0.10344827586206896
144,0.031,0.09090909090909091
145,0.031,0.12408759124087591
146,0.031,0.14754098360655737
147,0.031,0.1450381679389313
148,0.031,0.07913669064748201
149,0.031,0.11206896551724138
150,0.031,0.1794871794871795
151,0.031,0.16666666666666666
152,0.031,0.23076923076923078
153,0.031,0.22580645161290322
154,0.031,0.23636363636363636
155,0.031,0.19626168224299065
156,0.031,0.24369747899159663
157,0.031,0.168
158,0.031,0.14049586776859505
159,0.031,0.11764705882352941
160,0.031,0.15254237288135594
161,0.031,0.1323529411764706
162,0.031,0.13274336283185842
163,0.031,0.19047619047619047
164,0.031,0.1076923076923077
165,0.031,0.12903225806451613
166,0.031,0.19672131147540983
167,0.031,0.11864406779661017
168,0.031,0.15966386554621848
169,0.031,0.19047619047619047
170,0.031,0.19626168224299065
171,0.031,0.19626168224299065
172,0.031,0.23728813559322035
173,0.031,0.3064516129032258
174,0.031,0.1623931623931624
175,0.031,0.20689655172413793
176,0.031,0.18110236220472442
177,0.031,0.18699186991869918
178,0.031,0.1968503937007874
179,0.031,0.14285714285714285
180,0.031,0.20689655172413793
181,0.031,0.19491525423728814
182,0.031,0.2523364485981308
183,0.031,0.1794871794871795
184,0.031,0.18584070796460178
185,0.031,0.16666666666666666
186,0.031,0.20909090909090908
187,0.031,0.26956521739130435
188,0.031,0.21100917431192662
189,0.031,0.24615384615384617
190,0.031,0.21705426356589147
191,0.031,0.18333333333333332
192,0.031,0.18699186991869918
193,0.031,0.1864406779661017
194,0.031,0.11428571428571428
195,0.031,0.15384615384615385
196,0.031,0.15555555555555556
197,0.031,0.18461538461538463
198,0.031,0.17142857142857143
199,0.031,0.14516129032258066
200,0.031,0.13432835820895522
201,0.031,0.11811023622047244
202,0.031,0.17647058823529413
203,0.031,0.18032786885245902
204,0.031,0.21739130434782608
205,0.031,0.23809523809523808
206,0.031,0.19008264462809918
207,0.031,0.20967741935483872
208,0.031,0.23478260869565218
209,0.031,0.19672131147540983
210,0.031,0.20353982300884957
211,0.031,0.17857142857142858
212,0.031,0.18032786885245902
213,0.031,0.21428571428571427
214,0.031,0.09401709401709402
215,0.031,0.14049586776859505
216,0.031,0.08943089430894309
217,0.031,0.09243697478991597
218,0.031,0.0873015873015873
219,0.031,0.058823529411764705
220,0.031,0.1092436974789916
221,0.031,0.08270676691729323
222,0.031,0.11811023622047244
223,0.031,0.1
224,0.031,0.046153846153846156
